Иннокент~ Смоктуновск~ 
Михаил~ Ульянов~ 
Алексей~ Баталов~ 
Олег~ Ефремов~ 
Олег~ Табаков~ 
Валентин~ Гафт~ 
Александр~ Абдулов~ 
Олег~ Янковск~ 
Игор~ Костолевск~ 
Александр~ Збруев~ 
Олег~ Стриженов~ 
Васил~ Ланов~ 
Евген~ Евстигнеев~ 
Олег~ Басилашвил~ 
Евген~ Леонов~ 
Евген~ Миронов~ 
Дмитр~ Певцов~ 
Альберт~ Филозов~ 
Валер~ Гаркалин~ 
Вячеслав~ Тихонов~ 
Михаил~ Ефремов~ 
Авангард~ Леонтьев~ 
Павел~ Луспекаев~ 
Станислав~ Говорухин~ 
Владимир~ Меньшов~ 
Анатол~ Папанов~ 
Евген~ Жариков~ 
Михаил~ Кононов~ 
Валер~ Золотухин~ 
Леонид~ Филатов~ 
Станислав~ Любшин~ 
Васил~ Шукшин~ 
Александр~ Балуев~ 
Юр~ Соломин~ 
Витал~ Соломин~ 
Всеволод~ Абдулов~ 
Виктор~ Авилов~ 
Анатол~ Адоскин~ 
Александр~ Адабашьян~ 
Борис~ Бабочкин~ 
Донатас~ Банионис~ 
Регимантас~ Адомайтис~ 
Юозас~ Будрайтис~ 
Ивар~ Калныньш~ 
Валер~ Баринов~ 
Борис~ Барнет~ 
Владимир~ Басов~ 
Марат~ Башаров~ 
Сергей~ Безруков~ 
Юр~ Белов~ 
Александр~ Белявск~ 
Юр~ Беляев~ 
Марк~ Бернес~ 
Вадим~ Бероев~ 
Егор~ Бероев~ 
Юр~ Богатырев~ 
Серге~ Бодров~ 
Ярослав~ Бойк~ 
Андре~ Болтнев~ 
Серге~ Бондарчук~ 
Федор~ Бондарчук~ 
Лев~ Борисов~ 
Олег~ Борисов~ 
Иван~ Бортник~ 
Виктор~ Борцов~ 
Игор~ Бочкин~ 
Михаил~ Боярск~ 
Эдуард~ Бредун~ 
Борислав~ Брондуков~ 
Леонид~ Бронев~ 
Дмитр~ Брусникин~ 
Алексей~ Булдаков~ 
Георг~ Бурков~ 
Николай~ Бурляев~ 
Леонид~ Быков~ 
Ролан~ Быков~ 
Олег~ Вавилов~ 
Серге~ Варчук~ 
Анатол~ Васильев~ 
Васил~ Вдовиченков~ 
Петр~ Вельяминов~ 
Игор~ Верник~ 
Евген~ Весник~ 
Олег~ Видов~ 
Юр~ Визбор~ 
Эммануил~ Виторган~ 
Георг~ Вицин~ 
Игор~ Владимиров~ 
Александр~ Вокач~ 
Никола~ Волков~ 
Михай~ Волонтир~ 
Зинов~ Высоковск~ 
Владимир~ Высоцк~ 
Никит~ Высоцк~ 
Александр~ Галибин~ 
Борис~ Галкин~ 
Владислав~ Галкин~ 
Эраст~ Гарин~ 
Сергей~ Гармаш~ 
Евген~ Герасимов~ 
Зинов~ Гердт~ 
Петр~ Глебов~ 
Михаил~ Глузск~ 
Николай~ Годовиков~ 
