Фаин~ Раневск~ 
Любов~ Орлов~ 
Инн~ Чуриков~ 
Наталь~ Гундарев~ 
Марин~ Неелов~ 
Эллин~ Быстрицк~ 
Клар~ Лучко 
Людмил~ Гурченк~ 
Алл~ Демидов~ 
Алис~ Фрейндлих~ 
Тамар~ Макаров~ 
Инн~ Макаров~ 
Нон~ Мордюков~ 
Татьян~ Самойлов~ 
Татьян~ Доронин~ 
Татьян~ Лавров~ 
Маргарит~ Терехов~ 
Алл~ Покровск~ 
Лид~ Федосеева-Шукшин~ 
Елен~ Яковлев~ 
Татьян~ Васильев~ 
Вер~ Васильев~ 
Ольг~ Аросев~ 
Ли~ Ахеджаков~ 
Светлан~ Немоляев~ 
Ольг~ Будин~ 
Ирин~ Лачин~ 
Анн~ Самохин~ 
Жанн~ Прохоренк~ 
Елен~ Соловей~ 
Ирин~ Мирошниченк~ 
Ларис~ Голубкин~ 
Мар~ Миронов~ 
Маргарит~ Володин~ 
Нин~ Усатов~ 
Валентин~ Малявин~ 
Наталь~ Фатеев~ 
Валентин~ Талызин~ 
Марин~ Яковлев~ 
Марин~ Ладынин~ 
Ольг~ Остроумов~ 
Ирин~ Алферов~ 
Елен~ Цыплаков~ 
Любов~ Полищук~ 
Ален~ Хмельницк~ 
Раис~ Рязанов~ 
Людмил~ Артемьев~ 
Зинаид~ Кириенк~ 
Амал~ Мордвинов~ 
Анастас~ Вертинск~ 
Светлан~ Том~ 
Елен~ Проклов~ 
Тамар~ Семин~ 
Елен~ Сафонов~ 
Ирин~ Муравьев~ 
Галин~ Польских~ 
Елен~ Коренев~ 
Евген~ Симонов~ 
Екатерин~ Васильев~ 
Людмил~ Чурсин~ 
Лейл~ Абашидз~ 
Татьян~ Аксют~ 
Ирин~ Акулов~ 
Тамар~ Акулов~ 
Марин~ Александров~ 
Вер~ Алентов~ 
Лилиан~ Алешников~ 
Матлюб~ Алимов~ 
Ксен~ Алфёров~ 
Светлан~ Аманов~ 
Наталь~ Андрейченк~ 
Ольг~ Андровск~ 
Мар~ Аниканов~ 
Натал~ Антонов~ 
Ольг~ Антонов~ 
Ирин~ Апексимов~ 
Наталь~ Аринбасаров~ 
Людмил~ Аринин~ 
Ольг~ Арнтгольц~ 
Татьян~ Арнтгольц~ 
Ольг~ Аросев~ 
Людмил~ Артемьев~ 
В~ Артман~ 
Ольг~ Бган~ 
Татьян~ Бедов~ 
Ирин~ Безруков~ 
Наталь~ Белохвостиков~ 
Валентин~ Березуцк~ 
Татьян~ Бестаев~ 
Гликер~ Богданова-Чесноков~ 
Натал~ Богунов~ 
Татьян~ Божок~ 
Жанн~ Болотов~ 
Анн~ Большов~ 
Алён~ Бондарчук~ 
Наталь~ Бондарчук~ 
Юл~ Борисов~ 
Ирин~ Бразговк~ 
Ольг~ Будин~ 
Алл~ Будницк~ 
Май~ Булгаков~ 
Зо~ Буряк~ 
Надежд~ Бутырцев~ 
Наталь~ Вавилов~ 
Елен~ Валюшкин~ 
Наталь~ Варлей~ 
Татьян~ Веденеев~ 
Лид~ Вележев~ 
Наталь~ Величк~ 
Лид~ Вертинск~ 
Марианн~ Вертинск~ 
Ольг~ Викланд~ 
Мар~ Виноградов~ 
Любов~ Виролайнен~ 
Анастас~ Вознесенск~ 
Ольг~ Волков~ 
Галин~ Волчек~ 
Наталь~ Гвоздиков~ 
Анастас~ Георгиевск~ 
Евдок~ Германов~ 
Вер~ Глаголев~ 
Ольг~ Гобзев~ 
Кир~ Головк~ 
Мар~ Голубкин~ 
Инн~ Гомес~ 
Виктор~ Горшенин~ 
Нин~ Гребешков~ 
Ирин~ Губанов~ 
Ларис~ Гузеев~ 
Екатерин~ Гусев~ 
Наталь~ Данилов~ 
Ингеборг~ Дапкунайт~ 
Тамар~ Дегтярев~ 
Любов~ Добржанск~ 
Евген~ Добровольск~ 
Татьян~ Догилев~ 
Нин~ Дорошин~ 
Елен~ Драпек~ 
Елен~ Дробышев~ 
